Period	Decade	AxisYear	Year	Month	SST_22_24	SST_24_26	SST_26_28	SST_28_30	SST_30_32	SST_32_34	SST_34_36	SST_36_38	SST_38_40	SST_40_42	SST_42_44	SST_44_46	SST_46_48	SST_Bight
1	40	1946	1946	1	21.37	20.25	17.15	16.06	15.63	13.64	13.75	12.83	12.55	10.87	10.63	10.34	9.43	14.17
2	40	1946.0833	1946	2	21.03	18.99	16.24	15.29	14.09	13.68	12.26	11.8	10.96	11.1	9.27	9.25	8.35	13.49
3	40	1946.167	1946	3	19.23	17.25	15.53	14.97	15.12	12.31	11.4	11.19	11.21	10	10	9.4	NA	13.32
4	40	1946.25	1946	4	20.97	16.59	15.36	15.2	14.78	13.6	12.47	12.59	11.21	NA	9.78	9.17	NA	15.31
5	40	1946.3333	1946	5	19.96	17.22	16.27	15.25	15.38	14.34	13.6	13.01	10.87	9.8	9.9	9.77	9.35	15.79
6	40	1946.417	1946	6	23.97	18.77	19.26	17.8	19.17	NA	NA	13.24	13.43	10.35	12.1	13.3	12.05	17.57
7	40	1946.5	1946	7	25.04	21.9	19.8	18.38	20	17.5	16.3	15.73	14.76	14.58	15.73	16.98	15.98	20.31
8	40	1946.5833	1946	8	NA	NA	NA	NA	NA	18.6	17.8	15.68	16.13	NA	NA	NA	NA	21.48
9	40	1946.667	1946	9	28.9	28.9	24.83	NA	19.4	17.68	NA	14.44	15.01	16.87	NA	15.6	NA	20.29
10	40	1946.75	1946	10	25.9	23.7	22	21.65	18.7	17.99	14.87	14.12	13.29	13.96	10.73	11.1	12.47	19.05
11	40	1946.8333	1946	11	24.4	22.08	20	19.6	17.23	14.88	13.3	10.68	NA	8.9	10	8.9	NA	16.18
12	40	1946.917	1946	12	22.66	20.66	19.32	17.6	16.44	14.35	13.44	12.41	11.38	11.13	10.2	10.37	9.07	14.6
13	40	1947	1947	1	21.83	19.07	16.7	16.26	15.6	14.15	13.75	12.23	12.46	10.59	9.8	8.92	8.12	14.75
14	40	1947.0833	1947	2	20.76	18.38	16.8	15.57	14.71	14.49	12.8	12.21	10	10.06	9.5	8.67	8.25	14.48
15	40	1947.167	1947	3	19.38	17.56	15.9	15.6	12.8	15.31	14.4	12.14	NA	11	9.75	8.62	8.08	15.14
16	40	1947.25	1947	4	18.37	16.93	16.76	16.38	17.25	16.51	12.8	12.53	11.13	12.5	NA	11.1	11.1	15.71
17	40	1947.3333	1947	5	19.72	17.4	16.38	15.27	15.43	15.48	13.7	12.54	11.58	10.94	10.67	13.24	11.51	15.61
18	40	1947.417	1947	6	19.81	18.61	17.84	17.71	16.91	16.9	14.07	13.59	13.72	12.8	13.98	16.05	15.47	17.82
19	40	1947.5	1947	7	24.26	24	19.06	19.35	18.3	16	14.12	14.01	13.82	15.97	15.9	17.12	16.34	18.85
20	40	1947.5833	1947	8	26.54	23.78	20.62	20.51	19.77	18.33	14.94	15.18	14.36	13.3	16.41	17.47	16.63	19.7
21	40	1947.667	1947	9	26.8	23.99	21.35	20.51	19.69	18.89	16.79	16.04	14.96	13.61	12.76	12.79	15.12	19.81
22	40	1947.75	1947	10	24.77	23.31	20.46	19.6	19.15	18.25	15.89	15.59	14.66	12.12	13.87	12.98	12.73	19.05
23	40	1947.8333	1947	11	21.13	21	19.22	18.58	17.65	16.35	15.04	11.94	11.18	13.2	12.4	12.5	13.3	16.88
24	40	1947.917	1947	12	22.07	19.83	18.48	16.12	15.96	13.9	12.91	12.8	10.91	10.7	10.67	10.75	9.67	14.14
25	40	1948	1948	1	20.78	19.85	17.05	14.84	14.84	13.55	12.56	12.29	11.25	10.63	10.4	9.36	8.49	14.32
26	40	1948.0833	1948	2	20.13	18.58	16.74	15.39	14.7	NA	12.27	11.86	11.71	9.91	8.8	8.9	7.88	13.89
27	40	1948.167	1948	3	18.68	16.94	15.82	15.23	14.46	13.21	12.22	11.66	11.44	9.66	9.41	8.81	8.53	14.02
28	40	1948.25	1948	4	19.91	17.02	16.14	15.26	14.82	14.34	13.89	11.88	11.38	10.26	10.11	9.85	9.18	14.87
29	40	1948.3333	1948	5	18.78	17.13	16.03	16.45	15.66	15.11	12.5	13.14	12.71	11.32	11.5	10.81	11.95	16.08
30	40	1948.417	1948	6	20.08	19.01	17.5	17.49	16.94	15.34	14.21	14.45	14.06	13.28	13.73	14.68	14.43	16.53
31	40	1948.5	1948	7	24.36	22.58	19.28	18.31	17.3	16.54	15.78	15.08	13.84	12.95	13.03	15.74	15	16.55
32	40	1948.5833	1948	8	28.7	24.76	20.41	18.45	17.96	17.05	15.8	16.33	15.53	13.47	16.14	16.16	16.52	17.75
33	40	1948.667	1948	9	27.8	25.36	21.31	19.05	18.47	17.28	15.77	15.69	15.47	14.91	13.68	15.71	15	18.11
34	40	1948.75	1948	10	26.24	24.18	21.07	19.37	18.42	17.26	15.49	14.67	14.02	12.73	12.43	13.42	12.31	17.98
35	40	1948.8333	1948	11	24.31	22.85	18.6	19.1	17.65	16.06	14.75	13.19	13.15	12.07	11.36	9.61	10.72	17.39
36	40	1948.917	1948	12	23.88	21.72	19.38	17.79	16.35	14.49	12.9	11.64	11.72	10.13	10.04	8.53	8.1	14.53
37	40	1949	1949	1	21.55	18.6	16.78	15.49	14.45	12.61	12.47	10.95	10.54	9.76	9.16	8.26	7.89	13.33
38	40	1949.0833	1949	2	19.94	17.95	15.85	14.85	13.92	13.51	12.12	10.71	10.3	9.35	8.71	8.01	7.56	13.56
39	40	1949.167	1949	3	19.28	16.81	15.32	14.73	14.6	13.41	12.31	11.56	10.7	10.54	9.97	9.01	8.18	14.07
40	40	1949.25	1949	4	18.72	17.03	16.04	15.6	15.26	12.92	12.61	11.58	11.11	10.2	10.23	9.89	9.06	14.76
41	40	1949.3333	1949	5	18.21	17.1	16.48	16.15	16.48	14.22	13.15	12.63	12.34	11.82	11.38	11	11.4	16.25
42	40	1949.417	1949	6	19.73	18.99	18.12	17.64	17.42	15.36	14.15	13.77	12.31	11.31	11.51	13.67	13.2	17.54
43	40	1949.5	1949	7	23.94	21.23	19.29	19.02	18.44	16.77	15.05	13.79	11.87	11.42	12.79	14.11	14.09	18.61
44	40	1949.5833	1949	8	27.01	22.79	20.32	20.11	19.31	16.54	14.83	15.4	14.65	15.1	15.37	15.59	16.81	19.3
45	40	1949.667	1949	9	25.96	23.46	21.48	20.81	19.61	17.62	15.74	16.06	15.3	14.16	14.61	16.24	15.46	19.65
46	40	1949.75	1949	10	25.68	23.02	20.49	19.17	18.16	17.1	14.66	14.28	13.88	11.75	12.82	13.75	13.21	18.71
47	40	1949.8333	1949	11	24.82	22.39	19.92	18.52	17.67	16.26	15	14.22	13.41	12.89	12.34	12.04	12.04	17.02
48	40	1949.917	1949	12	22.27	20.67	18.82	17.16	16.49	14.4	13.91	13.28	12.7	12.25	11.86	11.24	10.44	16.16
49	50	1950	1950	1	20.98	18.92	16.83	15.62	14.53	13.45	11.8	11.5	10.66	10.72	8.99	8.68	8.33	13.36
50	50	1950.0833	1950	2	20.24	17.5	16.03	15.1	14.14	13.12	11.85	11.54	11.32	9.87	8.61	8.29	7.5	13.29
51	50	1950.167	1950	3	18.6	16.89	15.45	15.38	14.22	13.42	12.03	11.64	11.04	9.95	9.07	8.47	7.54	13.66
52	50	1950.25	1950	4	19.51	17.24	16.06	15.8	15	13.41	11.48	11.01	11.13	10.57	9.38	9	8.3	14.79
53	50	1950.3333	1950	5	18.97	16.3	15.76	15.86	15.06	13.73	12.17	11.25	10.86	10.27	10.1	10.05	9.95	14.74
54	50	1950.417	1950	6	20.91	17.22	16.51	16.56	15.96	14.31	13.09	12.88	12.57	11.99	12.59	12.57	12.03	16.16
55	50	1950.5	1950	7	23.38	20.53	19.13	18.95	18.27	16.12	15.06	13.96	13.09	11.86	12.18	13.84	14.31	17.92
56	50	1950.5833	1950	8	26.91	23.11	19.89	19.08	18.26	16.74	16.13	14.69	14	13.66	14.37	16.23	16.99	18.57
57	50	1950.667	1950	9	26.74	23.48	20.27	19.27	19.11	17.92	16.12	14.99	14.16	14.29	15.01	13.55	14.9	18.71
58	50	1950.75	1950	10	27.02	24.39	20.7	19.71	18.76	16.93	14.6	15.52	14.08	12.91	12.8	13.88	14.45	18.45
59	50	1950.8333	1950	11	24.77	23.1	19.83	18.22	17.53	16.43	15.29	15.11	14.1	13	12.76	12.04	11.53	17.53
60	50	1950.917	1950	12	24.69	23.06	20.14	18	17.08	16.76	14.81	14.64	13.52	12.9	12.1	11.64	10.47	16.83
61	50	1951	1951	1	22.07	19.15	17.36	15.82	15.25	13.89	12.68	13.15	11.61	12.08	11.49	9.45	8.97	14.19
62	50	1951.0833	1951	2	20.81	18.31	16.72	15.49	15.31	13.88	13.08	12.77	12.39	10.73	10.54	9.78	9.17	14.72
63	50	1951.167	1951	3	19.38	17.15	16.4	15.31	14.55	13.74	12.66	11.61	11.63	9.88	9.62	8.97	7.93	14.95
64	50	1951.25	1951	4	18.49	17.13	16.14	15.9	15.39	14.32	13.12	11.86	11.48	10.83	9.81	10.05	9.68	15.35
65	50	1951.3333	1951	5	18.69	16.11	16.12	15.69	15.35	14.25	13.41	12.8	11.99	11.65	11.65	12.39	11.61	15.01
66	50	1951.417	1951	6	20	16.86	16.93	16.76	16.47	15.49	14.13	12.96	12.19	9.89	10.67	12.96	12.92	16.1
67	50	1951.5	1951	7	24.67	21.84	19.1	18.1	17.52	16.33	14.46	13.99	12.78	12.51	11.93	14.57	14.22	17.65
68	50	1951.5833	1951	8	27.74	25.23	21.98	19.6	18.59	16.31	14.95	14.12	12.76	12.25	13.56	16.4	16.23	18.14
69	50	1951.667	1951	9	27.67	25.85	23.61	19.79	18.33	16.62	16.17	14.81	15.04	11.36	13.39	15.08	14.36	17.95
70	50	1951.75	1951	10	28.73	26.72	23.83	20.53	18.69	17.66	16.74	15.21	15.18	14.09	14.44	14.83	14.35	18.4
71	50	1951.8333	1951	11	27.13	25.4	22.12	19.82	18.39	17.24	15.58	14.67	13.73	12.54	12.51	12.23	11.37	17.37
72	50	1951.917	1951	12	25.05	23.33	20.06	17.87	16.31	14.67	14.53	13.45	12.41	12.94	11.05	10.13	9.44	15.61
73	50	1952	1952	1	23.54	21.12	18.14	16.51	15.23	13.36	13.05	12.31	11.55	10.91	9.58	9.2	8.04	14.6
74	50	1952.0833	1952	2	22.01	19.91	16.96	15.94	15.11	14	12.78	12.18	11.56	11.11	10.03	9.35	7.93	15.14
75	50	1952.167	1952	3	20.72	18.53	16.54	15.15	14.62	13.34	12.38	11.62	10.7	10.37	9.88	9.22	8.15	14.45
76	50	1952.25	1952	4	19.97	17.67	16.09	15.58	15.42	13.32	12.44	11.59	10.77	9.99	9.92	9.49	9.17	15.64
77	50	1952.3333	1952	5	19.15	17.62	16.34	15.91	15.71	14.27	13.48	12.07	11.79	11.69	11.56	10.84	11.2	16.28
78	50	1952.417	1952	6	19.93	17.92	16.81	16.67	16.36	14.63	14.14	13.52	12.7	11.36	12.42	14	13.2	16.25
79	50	1952.5	1952	7	24.17	21.32	18.32	17.76	17.53	16.06	14.46	14.45	13.35	12.63	12.39	14.61	13.65	17.05
80	50	1952.5833	1952	8	26.71	23.91	20.52	19.01	18.69	16.89	14.62	14.01	14.98	13.48	14.45	14.53	15.68	18.18
81	50	1952.667	1952	9	27.07	24.75	21.88	20.07	18.7	16.56	15.53	14.98	15.27	13.24	13.67	14.58	15.14	18.12
82	50	1952.75	1952	10	28.13	25.96	22.2	19.16	18.18	17.01	15.4	15.01	14.88	12.68	12.26	13.18	15.04	17.69
83	50	1952.8333	1952	11	26.07	23.57	20.51	18.35	17.44	16.33	14.69	14.02	13.19	12.39	12.04	12.08	11.83	16.79
84	50	1952.917	1952	12	23.44	20.81	18.03	16.53	16.04	14.99	14.02	13.58	12.28	12.08	11.27	10.63	10.47	16.31
85	50	1953	1953	1	22.26	20.14	17.68	15.9	15.47	13.6	13.66	13.09	12.25	11.77	11.11	10.54	9.79	14.77
86	50	1953.0833	1953	2	21.09	19.01	17.23	15.94	15.15	12.79	12.34	12.23	11.21	10.64	10.39	10.14	9.22	14.52
87	50	1953.167	1953	3	20.54	18.07	16.11	15.14	14.68	13.23	12.61	11.46	11.08	10.01	10.22	9.64	9.29	14.24
88	50	1953.25	1953	4	19.42	17.09	15.78	15.03	14.72	12.61	11.68	11.41	11	10.97	11.23	10.59	10	13.9
89	50	1953.3333	1953	5	20.1	17.58	16.08	15.49	15.26	13.26	12.79	12.29	12.52	12.22	11.95	11.47	10.59	14.97
90	50	1953.417	1953	6	19.73	17.22	15.56	15.8	15.94	14.01	13.65	13.08	12.54	12.18	13.02	13.51	13.04	16.7
91	50	1953.5	1953	7	23.91	21.22	19.32	18.44	17.92	15.9	14.43	13.67	13.42	12.36	13.87	15.6	14.22	18.27
92	50	1953.5833	1953	8	26.6	22.79	19.51	18.55	18.3	16.44	15.47	15.37	15.65	14.33	14.46	15.99	16.09	18.86
93	50	1953.667	1953	9	28.1	25.32	20.95	19.46	19.76	17.33	16.94	16.7	16.75	14.66	15.59	16.45	16.87	19.51
94	50	1953.75	1953	10	27.49	25.38	22.58	19.66	18.75	16.21	15.28	15.32	15.66	13.34	14.95	15.25	13.62	18.83
95	50	1953.8333	1953	11	25.97	24.28	21.96	19.16	18.56	15.77	15.48	13.99	14.33	13.05	12.78	13.34	12.56	17.5
96	50	1953.917	1953	12	23.55	21.91	20.22	17.35	16.67	13.81	13.39	12.57	13.29	12.11	12.35	11.53	10.97	15.9
97	50	1954	1954	1	21.14	19.93	17.97	16.32	14.57	13.61	13.61	12.39	11.94	11.79	10.63	10.55	9.85	14.34
98	50	1954.0833	1954	2	20.7	19.39	17.57	16.12	14.62	13.65	13.27	12.11	11.84	11.6	10.53	9.56	9.08	14.64
99	50	1954.167	1954	3	20.48	18.45	16.78	15.9	14.86	13.99	13.38	12.27	11.58	10.95	10.24	9.77	8.8	14.48
100	50	1954.25	1954	4	19.62	17.26	15.74	15.8	15.05	13.73	12.99	12.78	11.65	10.72	10.29	10	9.11	15.22
101	50	1954.3333	1954	5	19.82	17.58	16.75	16.46	16.06	14.03	13.13	12.56	11.83	10.78	10.59	10.77	10.58	15.66
102	50	1954.417	1954	6	19.83	17.79	17.22	17.09	17.07	14.61	13.46	12.76	13.04	12.88	13.07	13.55	13.26	16.99
103	50	1954.5	1954	7	23.35	20.97	19.19	18.75	18.61	16.06	15.54	14.42	13.23	12.08	12.93	14.95	14.33	19.35
104	50	1954.5833	1954	8	26.68	23.87	21.23	20.79	19.64	17.32	15.66	14.96	13.83	13.68	13.98	15.91	15.47	20.14
105	50	1954.667	1954	9	27.68	25.16	21.55	20.22	19.56	16.78	15.88	15.78	15.45	14.41	15.53	16.69	16.73	19.48
106	50	1954.75	1954	10	25.38	23.24	20.43	18.74	18.29	16.41	15.34	14.85	14.8	13.7	13.26	14.46	13.47	18.05
107	50	1954.8333	1954	11	24.5	22.09	19.85	18.23	17.93	17.32	15.31	14.58	14.15	13.71	13.53	13.17	12.79	17.11
108	50	1954.917	1954	12	23.86	21.84	19.07	17.49	16.49	15.45	14.02	13.85	12.78	12.6	12.2	12.09	11.01	16.34
109	50	1955	1955	1	20.73	18.38	17.1	15.87	14.83	13.69	12.86	12.27	11.64	10.85	10.53	9.94	9.41	14.13
110	50	1955.0833	1955	2	19.64	17.74	16.04	15.09	14.52	12.83	12.48	11.57	11.46	10.17	9.82	10.44	9.28	13.95
111	50	1955.167	1955	3	18.99	17.39	15.97	15.52	15.02	13.4	12.34	11.5	10.97	9.92	9.38	8.88	8.74	14.77
112	50	1955.25	1955	4	18.78	17.07	16.18	15.65	15.19	13.34	11.87	11.52	10.84	9.89	9.47	9.23	8.94	15.16
113	50	1955.3333	1955	5	18.5	16.66	16.18	16.12	15.93	14.3	13.15	11.76	10.99	9.62	10.34	9.75	9.6	15.91
114	50	1955.417	1955	6	18.65	17.25	16.77	16.69	16.15	14.49	13.28	12.83	11.68	11.52	11.59	12.48	11.66	17.23
115	50	1955.5	1955	7	22.09	19.12	17.55	17.38	17.01	14.67	13.76	12.92	13.03	11.93	14.42	15.57	14.63	18.29
116	50	1955.5833	1955	8	25.62	22.89	20.52	19.69	19.24	16.19	14.17	13.42	12.62	11.9	14.3	15.78	16.83	19.93
117	50	1955.667	1955	9	27.48	25.36	22.57	21.15	19.81	15.78	15.38	14.47	14.46	11.9	12.39	14.45	16.1	18.74
118	50	1955.75	1955	10	24.18	21.19	19.46	18.28	17.61	15.64	14.69	14.21	14.71	12.54	12.52	14.11	13.24	17.62
119	50	1955.8333	1955	11	24.18	20.9	18.89	17.63	17.04	15.24	13.45	12.94	12.97	11.85	11.52	11.1	10.53	16.41
120	50	1955.917	1955	12	22.23	19.74	17.3	15.97	15.58	13.67	13.07	13.03	13.2	11.69	10.81	9.75	9.11	14.77
121	50	1956	1956	1	20.74	18.66	16.65	15.37	14.5	13.91	13.28	12.42	12.18	11.17	10.63	10.38	8.89	13.65
122	50	1956.0833	1956	2	19.05	17.03	16.02	14.69	13.88	13.56	12.58	11.61	11.28	10.11	10.07	9.24	8.59	13.54
123	50	1956.167	1956	3	19.04	17.01	15.84	14.8	14.08	12.81	11.57	11.39	11.02	10.08	9.76	8.99	7.61	13.79
124	50	1956.25	1956	4	17.77	16.44	15.75	15.51	14.78	12.68	11.94	11.38	11.19	10.9	9.49	9.48	9.79	14.06
125	50	1956.3333	1956	5	19.58	17.31	16.81	16.29	15.99	14.23	13.41	13.02	11.72	11.38	11.93	12.28	12.47	15.44
126	50	1956.417	1956	6	20.33	18.33	17.44	16.89	16.41	13.05	12.98	12.04	12.45	11.67	12.61	13.83	12.65	14.84
127	50	1956.5	1956	7	27.18	23.19	20.15	18.75	18.12	16.08	14.44	13.68	13.64	12.91	13.86	15.05	15.25	18.41
128	50	1956.5833	1956	8	28.98	26.25	22.63	19.8	19.54	16.27	15.24	14.91	15.27	13.99	14.56	15.4	16.02	19.65
129	50	1956.667	1956	9	29.2	27.69	24.76	21.05	19.27	17.78	16.58	16.18	15.77	14.93	12.63	15.04	15.81	19.04
130	50	1956.75	1956	10	28.03	26	22.22	20.12	19.05	17.21	15.81	15.7	15.92	13.51	12.78	14.4	13.85	18.37
131	50	1956.8333	1956	11	26	23.86	20.82	18.62	17.53	14.85	14.32	13.5	13.89	12.65	12.56	12.43	11.86	15.9
132	50	1956.917	1956	12	23.73	22.69	20.52	18.22	16.84	14.36	13.79	12.92	13.15	11.02	10.15	10.42	9.66	15.74
133	50	1957	1957	1	22.16	20.94	19.05	17.18	16.13	14.49	12.95	12.75	11.84	11.43	10.47	9	8.57	15.63
134	50	1957.0833	1957	2	21.36	19.59	18.14	16.48	15.73	13.3	12.43	12.21	11.17	9.84	9.65	8.48	7.32	15.08
135	50	1957.167	1957	3	20.11	18.39	17.2	15.89	15.41	13.7	12.85	12.88	11.29	10.82	10.38	9.62	8.7	15.22
136	50	1957.25	1957	4	19.63	17.55	16.63	16.2	15.72	13.99	13.45	12.63	11.84	10.78	10.89	9.93	9.16	16.1
137	50	1957.3333	1957	5	19.55	17.83	17.17	16.99	16.64	15.7	14.45	14.21	12.75	12.48	12.56	12.56	12.24	17.2
138	50	1957.417	1957	6	21.24	18.75	18.23	18.06	17.66	15.52	15.02	14.86	13.17	13.44	13.23	15.47	14.87	17.73
139	50	1957.5	1957	7	25.27	22.96	20.45	20.01	19.59	17.43	16.01	14.85	14.87	13.19	15.07	16.37	15.76	20.08
140	50	1957.5833	1957	8	28.31	26.05	23.52	21.79	20.99	18.11	16.2	15.84	15.57	14.73	14.09	17.65	17.03	20.61
141	50	1957.667	1957	9	29.18	26.34	22.77	20.91	19.97	19.21	17.55	17.39	17.52	15.89	14.94	16.98	17.42	20.37
142	50	1957.75	1957	10	26.76	24.37	22.09	20.35	19.61	18.09	17.17	17.26	16.49	16.1	15.4	15.18	14.67	18.73
143	50	1957.8333	1957	11	25.67	23.48	21.49	19.49	18.43	16.09	15.69	15.61	14.75	12.69	12.55	12.78	13.16	17.51
144	50	1957.917	1957	12	24.71	23.23	21.43	19.01	17.5	16.16	15.55	14.69	13.73	12.1	11.36	11.57	10.83	16.95
145	50	1958	1958	1	23.58	21.93	20.08	18.16	17	15.45	14.32	14.05	13.57	12.53	12.4	11.6	8.98	16.92
146	50	1958.0833	1958	2	22.99	21.31	19.42	17.64	16.84	15.71	15.09	14.08	12.76	12.4	11.96	10.7	10.27	16.7
147	50	1958.167	1958	3	21.96	19.89	18.11	17.09	16.39	15.29	14.17	13.6	12.47	11.94	11.7	10.92	10.1	15.9
148	50	1958.25	1958	4	21.67	19.74	18.22	17.49	17.02	15.01	13.94	13.25	12.12	11.84	11.7	11.08	10.2	16.69
149	50	1958.3333	1958	5	21.87	19.54	18.38	17.93	17.54	15.21	14.39	14.35	14.26	13.75	13.7	13.24	12.82	16.98
150	50	1958.417	1958	6	23.43	20.31	18.53	18.12	17.99	17.07	16.92	17.07	16.97	15.11	15.39	16.63	15.66	18.23
151	50	1958.5	1958	7	26.32	23.36	20.59	19.21	18.54	16.79	16.08	16.27	14.93	13.93	14.44	16.09	15.9	18.77
152	50	1958.5833	1958	8	27.99	25.42	22.63	20.95	20.43	18.9	17.85	17.1	15.44	13.88	13.93	16.14	17.15	21.21
153	50	1958.667	1958	9	28.89	26.55	23.41	21.71	21.02	19.05	17.43	16.95	16.14	13.97	15.13	14.86	15.07	20.83
154	50	1958.75	1958	10	28.1	26.63	24.66	22.06	20.94	18.46	16.8	16.16	15.48	13.44	13.19	13.73	13.95	21.21
155	50	1958.8333	1958	11	26.15	24.29	21.94	20.67	19.22	16.42	15.34	15.71	15.64	13.86	13.71	12.63	11.91	18.64
156	50	1958.917	1958	12	25.18	23.5	21.5	19.47	18.28	16.35	15.93	14.94	14.3	13.13	12.11	11.93	10.95	17.39
157	50	1959	1959	1	23.22	21.62	19.45	18.05	17.14	15.56	14.55	14.25	13.09	12.2	11.68	11.31	9.79	16.24
158	50	1959.0833	1959	2	22.13	20.78	18.79	17.47	16.47	14.83	14.21	13.75	12.85	11.69	11.32	11.25	9.25	15.9
159	50	1959.167	1959	3	22.41	20.25	18.38	17.35	16.93	15.47	14.38	13.55	12.26	11.53	11.26	10.83	9.78	15.99
160	50	1959.25	1959	4	21.65	19.34	17.62	17.47	16.89	15.15	13.9	12.97	11.95	11.29	11.04	11.27	10.11	16.78
161	50	1959.3333	1959	5	20.6	18.77	17.87	17.53	17.22	15.32	13.86	13.08	12.48	12.25	12.04	12.33	12.02	17.2
162	50	1959.417	1959	6	22.16	19.65	18.43	17.86	17.6	15.36	14.05	13.93	14.06	13.02	14.15	14.19	14.57	18.84
163	50	1959.5	1959	7	25.89	23.41	21.72	20.58	19.87	17.45	16.17	15.73	15.74	13.49	14.76	16.04	16.23	20.32
164	50	1959.5833	1959	8	27.5	25.7	22.72	21.68	21.04	18.59	16.71	16.21	14.94	13.98	14.12	15.67	17.11	21.16
165	50	1959.667	1959	9	28.32	26.69	23.46	21.6	20.84	18.72	17.41	17.31	16.29	15.13	14.73	14.35	16.03	20.62
166	50	1959.75	1959	10	27.3	25.88	23.23	20.98	20.05	18.46	17.03	16.39	15.35	14.7	14.13	13.87	14.46	20.23
167	50	1959.8333	1959	11	25.99	24.02	21.67	19.86	19.19	17.13	15.94	15.09	14.48	14.12	12.46	12.74	11.39	18.81
168	50	1959.917	1959	12	24.83	22.91	21.08	19.15	18.13	16.3	15.58	14.28	14.07	12.4	11.62	11.18	10.36	17.92
169	60	1960	1960	1	21.83	20.44	18.83	16.94	16.43	14.58	13.53	12.54	12.36	11.78	11.14	10.2	9.81	15.31
170	60	1960.0833	1960	2	20.12	18.22	17.04	16.2	15.29	14.46	13.3	12.77	12.48	11.75	10.61	9.78	9.54	14.72
171	60	1960.167	1960	3	20.24	18.12	16.82	15.99	15.66	14.37	13.27	12.67	12.04	11.14	10.47	9.96	9.41	15.19
172	60	1960.25	1960	4	19.7	17.86	16.8	16.32	15.96	14.31	12.74	12.91	11.82	11.95	11.09	10.7	9.99	15.7
173	60	1960.3333	1960	5	19.31	17.86	17.51	17	16.43	14.03	12.65	13.36	12.99	12.18	11.41	11.46	11.72	16.8
174	60	1960.417	1960	6	19.72	18.52	17.93	17.38	17	15.76	14.42	13.91	12.98	11.75	12.36	13.76	13.57	17.04
175	60	1960.5	1960	7	23.97	22.32	20.74	19.58	19.04	16.55	15.12	14.62	14.47	12.65	13.24	14.99	14.76	19.2
176	60	1960.5833	1960	8	25.96	23.35	21.71	20.52	20.1	17.06	16	15.33	14.56	14.24	14.59	15.67	15.25	20.18
177	60	1960.667	1960	9	28.2	26.04	23.64	22.02	21.02	17.91	15.95	15.98	14.91	13.11	14.03	15.1	14.74	20.26
178	60	1960.75	1960	10	27.14	24.63	22.16	20.22	19.29	17.42	15.4	15.31	14.79	13.31	13.17	13.33	13.12	18.52
179	60	1960.8333	1960	11	25.08	22.4	20.3	18.6	17.89	15.63	14.94	13.97	13.86	13.03	12.88	12.3	12.05	17.24
180	60	1960.917	1960	12	23.95	21.29	18.41	17.09	16.27	14.91	14.31	13.71	13.4	12.27	11.51	11.19	10.33	16.22
181	60	1961	1961	1	22.39	20.83	18.7	17.14	16.19	15.12	13.99	13.19	12.99	11.9	11.17	10.51	9.91	15.74
182	60	1961.0833	1961	2	21.09	19.41	17.66	16.65	16.02	14.58	13.86	13.36	13.04	12.11	11.3	10.83	9.95	15.85
183	60	1961.167	1961	3	20.13	18.06	16.63	16	15.63	14.17	13.34	12.7	12.59	11.89	11.04	10.01	9.74	15.34
184	60	1961.25	1961	4	19.74	17.57	16.46	16.16	15.73	14.31	12.77	12.68	12.03	10.99	10.6	10.33	9.62	15.3
185	60	1961.3333	1961	5	19.66	17.19	15.93	15.82	15.05	13.27	13.57	12.99	12.84	12.2	11.9	11.66	11.87	15.21
186	60	1961.417	1961	6	20.33	17.68	16.66	16.4	16.18	15.19	14.3	14.43	13.57	13.21	13.13	14.11	14.13	16.44
187	60	1961.5	1961	7	24.18	21.64	20.03	19.45	18.57	16.96	15.21	15	14.48	15.23	15.4	15.74	16.52	19.08
188	60	1961.5833	1961	8	27.52	24.43	21.3	19.95	19.55	16.97	16.38	15.78	15.58	15.29	15.55	16.26	15.94	19.96
189	60	1961.667	1961	9	28.17	25.16	22.62	20.63	19.95	18.45	16.32	15.97	15.57	13.77	13.32	14.25	14.95	19.56
190	60	1961.75	1961	10	27.23	24.55	21.68	19.69	18.61	17.5	15.92	15.13	13.38	12.79	13.67	12.29	13.72	18.77
191	60	1961.8333	1961	11	24.35	21.5	19.14	18.11	17.11	15.52	14.63	13.94	12.43	11.82	11.54	11.05	10.55	16.23
192	60	1961.917	1961	12	22.59	20.14	17.93	16.48	15.71	14.71	13.65	13.11	13.11	12.1	10.55	10.3	9.14	15.06
193	60	1962	1962	1	21.65	19.92	17.67	16.27	15.05	14.1	12.82	12.52	12.05	10.89	9.87	9.41	9.02	14.22
194	60	1962.0833	1962	2	20.81	18.9	17.14	16.05	14.99	14.22	12.62	12.16	11.49	11.02	10.08	9.29	8.5	14.24
195	60	1962.167	1962	3	18.74	17.13	15.87	15.25	14.49	13.36	12.32	12.04	11.71	10.89	9.73	9.59	8.68	14.04
196	60	1962.25	1962	4	19.34	17.28	16.09	15.58	15.13	13.43	12.49	12.27	12.12	11.33	10.78	9.61	9.12	14.57
197	60	1962.3333	1962	5	19.01	17.07	15.99	15.87	15.59	14.44	13.24	12.82	12.64	11.9	11.74	11.25	10.91	15.26
198	60	1962.417	1962	6	19.71	17.35	16.42	16.2	15.82	14.39	13.55	12.99	12.62	11.41	11.53	13.1	12.16	15.87
199	60	1962.5	1962	7	23.57	20.38	18.41	17.67	17.21	15.51	14.36	13.53	13.3	12.12	12.87	13.57	14.32	18.44
