cell	X	Y	d1h1	d1h2	d1h3	d1h4	d1h5	d1h6	d1h7	d1h8	d1h9	d1h10	d1h11	d1h12	d1h13	d1h14	d1h15	d1h16	d1h17	d1h18	d1h19	d1h20	d1h21	d1h22	d1h23	d2h1	d2h2	d2h3	d2h4	d2h5	d2h6	d2h7	d2h8	d2h9	d2h10	d2h11	d2h12	d2h13	d2h14	d2h15	d2h16	d2h17	d2h18	d2h19	d2h20	d2h21	d2h22	d2h23	d2h24	d3h1	d3h2	d3h3	d3h4	d3h5	d3h6	d3h7	d3h8	d3h9	d3h10	d3h11	d3h12	d3h13	d3h14	d3h15	d3h16	d3h17	d3h18	d3h19	d3h20	d3h21	d3h22	d3h23
85	537250	412250	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	4	1	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0
86	537250	412750	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0
87	537250	413250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	2	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	2	0	1	0	0	0	1	1	0	0	0	0	0	0	0
88	537250	413750	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	2	1	0	0	0	0	0	0	0	1	1	2	2	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	4	0
89	537250	414250	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	2	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	1
90	537250	414750	0	0	0	0	0	3	0	0	5	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	2	1	2	0	1	0	1	1	0	1	1	2	1	1	0	1	0
91	537250	415250	3	0	0	0	1	1	1	1	0	0	1	1	0	0	2	1	1	0	0	0	0	0	1	0	0	0	0	1	0	2	0	0	0	1	1	1	0	0	0	0	2	1	0	0	0	0	1	0	0	5	1	0	0	0	1	0	1	0	1	0	0	1	0	2	0	1	1	1	1	1
92	537250	415750	0	0	0	0	1	1	3	1	1	0	0	0	0	0	3	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	2	1	0	1	0	0	0	1	1	1	1	0	1	2	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
93	537250	416250	0	0	0	1	0	0	2	2	0	0	0	0	0	0	3	0	0	2	1	2	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	1	2	0	0	0	1	0
94	537250	416750	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0
95	537250	417250	2	0	0	0	0	0	0	2	2	0	0	1	1	0	2	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	2	2	1	2	0	0	0
96	537250	417750	0	0	0	0	0	0	3	0	0	1	0	1	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	1	0	3	2	0	2	1	3	0	0	1	1	0	1	0	2	1	1	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0
97	537250	418250	0	0	0	1	0	0	5	2	0	0	0	0	2	2	1	2	0	1	0	0	0	0	0	0	0	1	1	1	0	1	1	0	0	0	2	1	0	0	0	0	0	1	0	3	1	0	0	1	1	3	0	1	0	0	2	0	0	2	1	0	0	1	3	1	0	0	1	0	0	0
98	537250	418750	0	0	0	1	0	1	2	2	1	1	2	3	5	0	1	1	1	0	0	0	0	0	0	0	1	1	0	1	1	2	0	0	2	6	1	1	0	1	0	0	0	0	0	1	0	0	2	0	0	5	0	0	0	0	1	0	0	0	1	0	0	0	2	1	0	0	0	1	0	0
99	537250	419250	1	0	1	1	0	1	0	0	0	0	2	2	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	1	0	0	1	1	1	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0
100	537250	419750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101	537750	410250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
102	537750	410750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	0	0	0	0	0	0	0	0	0	2	0	0
103	537750	411250	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	1	0	2	2	2	1	0	1	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
104	537750	411750	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	2	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
105	537750	412250	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	2	2	2	1	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
106	537750	412750	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	3	0	0	2	0	0	0	0	0	0	0	0	1	0	2	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0
107	537750	413250	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0
108	537750	413750	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	1	1	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	2	0
109	537750	414250	1	0	0	0	1	1	1	0	1	1	0	2	0	1	0	0	1	0	1	0	0	0	0	0	0	0	3	0	1	3	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	2	0	1	0	2	2	0	1	0	0	0	0	2	0	0	0	1	1	3	0
110	537750	414750	0	0	0	0	1	2	0	0	2	0	2	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	3	0	0	3	1	3	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	2	0	1	0	0	3	4	0	0	0	0	0	1	2	1	0	0	0	0	1	0
111	537750	415250	0	0	0	0	1	3	2	3	2	0	1	2	0	0	2	0	1	1	3	1	0	0	0	2	1	1	1	4	1	0	2	1	1	1	0	0	0	0	1	0	1	0	0	0	1	1	0	1	2	6	0	0	0	0	1	1	0	4	0	1	1	2	5	2	0	0	1	0	3	1
112	537750	415750	1	0	0	0	1	3	4	2	1	3	3	5	2	2	2	1	1	1	2	3	0	0	3	3	2	1	1	1	1	6	2	2	3	2	3	2	1	0	1	1	1	0	0	0	0	1	0	3	1	7	2	1	1	1	0	2	1	0	0	0	0	3	0	0	1	0	0	1	2	1
113	537750	416250	3	2	0	0	0	2	2	4	4	1	0	0	1	3	2	0	1	1	0	1	0	0	0	0	0	0	0	2	0	1	1	0	0	3	0	0	0	0	0	1	0	0	1	0	0	0	1	3	0	2	0	2	0	0	2	0	0	1	1	1	1	0	1	0	0	1	0	0	0	0
114	537750	416750	1	1	0	0	0	3	11	1	2	0	0	2	0	1	1	0	1	1	2	0	0	0	0	0	2	0	1	1	1	2	0	0	1	1	2	1	1	0	0	0	0	0	0	0	1	0	0	0	2	1	1	0	2	1	2	0	0	1	0	0	0	3	1	0	0	0	3	2	1	0
115	537750	417250	2	0	1	1	1	2	3	0	0	1	2	3	0	2	0	1	0	0	2	1	0	0	0	1	0	0	0	1	0	3	1	0	2	1	2	0	0	0	1	0	2	0	1	0	0	0	0	1	2	0	1	0	0	0	2	1	0	1	0	0	1	0	1	0	1	0	0	0	0	1
116	537750	417750	1	1	0	0	3	1	4	1	1	0	0	0	1	2	2	3	1	3	0	3	0	0	0	0	1	1	0	2	0	3	3	1	0	1	3	1	0	0	0	0	4	0	0	2	1	0	3	1	3	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	2	0	2	3	0	1
117	537750	418250	1	0	0	0	2	1	3	1	1	1	0	1	8	3	1	1	0	0	0	0	0	0	0	1	1	0	1	1	1	5	3	0	2	3	3	1	1	1	0	0	0	0	0	6	2	1	4	0	1	3	1	0	0	1	2	0	1	2	0	3	2	1	7	1	1	0	1	3	1	0
118	537750	418750	1	0	0	0	0	4	5	2	0	0	2	7	7	4	3	1	0	0	0	1	1	0	0	0	3	2	0	1	0	2	6	0	1	2	1	0	1	3	0	0	1	0	2	8	0	1	1	2	0	0	0	0	0	0	4	4	0	1	0	0	0	1	5	0	1	0	1	0	0	0
119	537750	419250	0	0	0	0	0	0	0	0	0	0	0	1	3	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	1	1	1	0	2	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0
120	537750	419750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
121	538250	410250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
122	538250	410750	2	1	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	2	0	0	0	0	0	0
123	538250	411250	0	3	0	0	1	2	3	0	1	1	0	1	1	3	1	0	0	0	0	1	1	1	3	1	3	0	0	2	0	0	4	0	0	0	1	3	2	3	2	0	1	0	0	3	0	0	0	0	2	2	0	0	0	0	1	0	3	1	0	0	0	1	2	1	2	0	0	0	2	2
124	538250	411750	2	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	1	1	0	2	0	3	0	0	0	0	1	0	1	0	3	2	2	1	4	6	1	3	1	1	2	0	3	2	3	1	1	0	0	0	1	3	3	0	0	0	0	0	0	1	2	0	0	0	0	1	0
125	538250	412250	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	1	0	0	3	1	0	0	0	0	0	1	0	0	1	1	0	1	0	1	1	2	1	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0	1	2	0	0	0	0	0	1	2	1	0	0	0	0	0	0
126	538250	412750	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	1	4	0	0	2	0	0	0	0	0	1	3	1	1	3	0	0	2	0	2	2	1	2	3	0	0	0	2	0	0	1	0	3	1	0	0	0	0	2	0	0	0	0	0	0	2	2	0	2	0	3	2	0
127	538250	413250	1	0	0	0	0	0	2	0	0	0	0	1	1	0	0	0	1	2	2	0	3	1	0	0	0	0	0	2	0	1	0	1	1	0	1	0	0	4	0	0	2	1	0	0	1	0	0	1	2	4	2	0	0	0	2	0	1	1	0	0	0	0	3	1	0	0	0	0	0	0
128	538250	413750	1	0	0	0	1	4	0	0	0	0	1	1	0	1	0	1	0	0	2	1	1	0	0	0	0	0	0	0	1	0	1	2	0	0	1	1	0	0	1	1	0	1	0	0	0	1	1	1	2	1	0	2	0	1	0	3	2	2	1	0	0	1	1	1	1	0	1	2	0	0
129	538250	414250	1	0	0	0	2	5	2	2	0	0	2	6	0	1	2	2	0	3	5	3	0	0	1	0	3	2	3	7	1	0	6	1	2	0	2	0	0	0	4	0	1	0	0	0	0	1	1	3	0	3	1	0	0	0	2	2	1	1	0	3	0	0	2	0	0	0	0	2	2	0
130	538250	414750	1	0	0	0	1	0	2	0	3	1	1	1	0	1	2	0	1	0	3	1	0	0	1	0	3	0	2	2	1	1	1	2	2	1	1	2	0	2	1	0	1	0	1	2	1	0	1	1	2	2	3	0	0	0	3	3	0	1	0	0	0	1	2	0	0	0	2	3	2	0
131	538250	415250	2	0	0	0	5	6	5	0	1	1	1	2	1	1	2	2	0	1	5	5	1	0	2	0	4	1	4	0	0	4	1	3	2	2	2	2	1	0	0	0	0	1	2	1	1	0	2	4	6	4	2	2	0	4	1	1	1	2	1	3	3	2	1	1	0	1	1	2	3	4
132	538250	415750	3	3	0	0	2	7	9	5	1	3	4	2	3	1	4	4	1	2	2	0	2	0	1	2	2	1	2	2	2	2	0	4	3	4	2	2	1	0	0	0	2	0	0	2	1	0	2	2	3	10	4	2	1	3	2	1	1	1	3	4	3	3	2	1	1	2	0	2	2	1
133	538250	416250	0	1	0	1	0	2	3	4	5	0	2	1	2	2	5	1	1	1	3	2	0	1	1	3	1	0	2	1	1	2	4	1	0	2	4	1	2	0	0	0	2	0	1	0	1	0	1	4	1	4	4	1	1	1	1	4	0	2	1	0	1	0	2	1	1	0	0	2	2	1
134	538250	416750	1	1	0	0	0	6	4	7	2	1	3	2	2	3	1	4	0	1	5	3	1	1	1	0	1	0	0	0	0	5	5	1	3	1	2	2	1	2	2	0	0	0	0	1	2	0	0	0	1	4	3	0	1	2	1	0	2	4	0	1	0	1	1	1	1	1	1	1	1	0
135	538250	417250	5	1	0	0	1	1	6	2	0	1	2	1	2	7	1	3	1	0	7	3	0	0	0	0	2	1	0	1	2	3	0	3	2	0	3	4	3	1	1	0	2	1	0	2	0	0	0	1	1	0	1	2	2	2	2	2	0	0	1	2	1	2	2	6	0	1	1	3	5	1
136	538250	417750	2	1	0	1	2	5	2	4	2	0	3	2	4	5	0	4	1	2	5	1	1	1	0	0	4	3	1	3	1	7	3	2	0	3	5	5	2	2	2	0	2	0	0	7	3	3	1	4	5	4	0	1	0	3	2	2	1	1	1	1	1	5	3	1	1	0	1	2	2	2
137	538250	418250	0	0	0	3	4	1	2	1	0	2	4	9	8	2	1	3	1	6	1	0	0	0	0	0	5	4	1	0	4	2	6	1	0	5	0	2	0	2	1	0	1	0	0	8	0	6	0	3	2	2	2	2	0	0	5	2	0	1	0	0	0	1	6	4	0	0	1	4	3	0
138	538250	418750	1	0	0	1	2	0	1	0	0	0	2	5	3	2	5	1	0	0	1	0	0	0	1	0	1	0	0	1	0	1	9	1	0	3	1	0	1	1	2	0	0	1	1	3	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	2	0	1	2	0	0	1	0	0	0
139	538250	419250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
140	538250	419750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
141	538750	410250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
142	538750	410750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
143	538750	411250	0	0	0	0	0	2	0	0	1	1	1	0	1	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	1	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	1	1	1	0	0
144	538750	411750	2	0	0	3	2	1	3	1	2	1	1	2	0	2	1	0	2	3	1	1	3	3	0	3	2	4	1	1	1	1	1	0	2	1	3	3	3	1	5	1	2	1	1	2	0	2	2	0	2	4	1	0	0	1	1	2	3	1	3	1	3	3	0	3	1	2	1	2	1	2
145	538750	412250	0	0	0	1	0	2	0	0	0	1	1	0	0	1	0	0	0	0	1	3	0	1	0	0	0	1	0	0	0	1	3	0	0	1	1	3	0	3	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	3	1	0	1	0	0	0	0	2	2	0	0	0	0	0	0
146	538750	412750	0	0	0	3	1	2	0	1	0	0	0	0	0	1	0	1	1	3	5	4	1	1	0	2	0	0	2	3	0	0	1	1	1	2	4	2	0	1	1	0	6	0	1	0	0	0	1	2	1	5	1	0	0	0	0	1	4	1	1	0	0	3	1	2	0	0	0	1	1	0
147	538750	413250	0	0	0	2	2	0	1	1	1	0	1	0	0	2	0	1	3	3	6	1	2	1	0	3	0	0	0	1	3	2	3	1	4	1	2	2	1	3	1	0	1	0	0	1	0	1	1	3	1	9	2	0	0	2	1	5	1	1	1	1	0	0	4	1	1	2	1	1	2	0
148	538750	413750	0	0	0	0	2	3	0	0	1	1	3	1	1	2	0	2	1	3	4	4	3	0	0	1	1	0	1	5	2	3	1	1	0	0	4	0	1	3	2	1	0	0	0	1	0	1	1	4	1	3	1	1	4	0	2	2	0	2	0	1	0	0	3	1	2	1	0	0	3	1
149	538750	414250	3	2	0	0	2	6	1	0	3	0	2	1	0	3	0	2	0	1	7	4	7	1	2	0	1	1	5	9	8	3	1	1	0	4	2	0	0	0	2	0	1	0	1	1	0	0	1	3	7	2	4	3	1	1	1	0	0	2	0	2	1	0	2	2	2	1	1	3	3	1
150	538750	414750	1	0	0	0	3	4	3	4	0	4	1	5	4	2	1	1	1	2	8	3	1	2	3	1	1	6	8	7	5	3	3	2	1	4	0	1	2	3	1	1	0	2	1	1	2	2	2	5	4	12	3	4	3	2	4	6	1	1	2	0	2	0	3	0	2	0	1	1	4	1
151	538750	415250	0	0	0	0	1	7	4	4	3	2	3	3	0	1	4	2	0	2	6	7	1	2	0	2	3	2	4	5	11	2	4	3	5	6	3	6	2	1	0	0	3	1	1	1	4	0	4	7	6	12	6	6	6	2	5	6	7	3	4	1	7	0	6	0	1	2	2	4	2	1
152	538750	415750	3	4	0	2	2	10	1	4	1	1	4	1	2	5	5	1	2	3	8	5	1	0	1	0	8	4	10	8	5	4	6	3	7	2	5	3	2	0	0	0	5	1	2	9	6	0	8	9	7	12	12	8	7	3	4	1	2	0	4	0	3	2	5	2	4	0	2	1	3	1
153	538750	416250	3	3	2	0	3	9	5	3	3	3	2	3	4	3	1	1	1	1	4	3	0	1	2	2	0	3	4	2	2	3	3	2	0	2	3	5	0	1	0	1	1	1	3	4	5	2	2	3	2	13	9	1	2	3	2	4	1	2	2	1	5	3	6	0	1	0	0	4	2	1
154	538750	416750	3	3	1	2	2	4	2	6	1	1	4	3	1	4	2	4	1	1	4	4	3	2	1	1	5	2	2	2	3	3	5	2	2	3	2	3	2	0	1	1	3	2	2	3	1	1	1	3	3	4	10	1	2	1	2	6	0	3	5	3	1	4	3	2	3	0	0	4	7	0
155	538750	417250	3	1	1	2	4	7	3	2	1	2	2	3	7	6	2	5	0	1	3	6	2	1	0	0	5	0	2	4	6	9	3	0	2	2	5	6	2	3	2	6	6	0	2	9	5	3	3	1	5	4	4	7	2	1	3	5	1	0	1	3	2	4	6	0	3	0	1	0	7	2
156	538750	417750	4	0	0	2	2	3	2	1	2	0	3	1	8	2	2	4	1	3	4	2	1	3	3	3	7	2	2	4	1	2	10	0	2	4	7	1	3	4	2	2	0	1	3	14	4	4	4	4	6	5	2	4	1	1	4	4	0	0	3	2	1	5	9	2	2	0	2	5	2	2
157	538750	418250	2	1	0	2	0	3	3	0	1	1	2	17	4	2	2	5	0	4	0	0	0	0	0	0	0	2	0	2	4	3	7	1	1	2	1	2	1	2	0	0	0	2	7	7	3	0	2	3	1	0	0	1	1	1	10	0	0	1	0	0	1	1	3	2	0	0	1	2	0	0
158	538750	418750	0	1	0	1	0	0	0	1	0	0	0	0	2	1	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	1	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
159	538750	419250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
160	538750	419750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
161	539250	410250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
162	539250	410750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
163	539250	411250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164	539250	411750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
165	539250	412250	0	0	0	0	1	6	5	5	5	0	4	1	4	1	0	0	1	1	3	1	1	0	0	0	1	1	0	0	0	0	1	1	1	1	1	0	2	1	1	0	2	0	2	0	0	0	0	0	0	2	0	1	0	0	1	2	4	2	1	2	0	0	1	2	1	0	0	0	0	0
166	539250	412750	1	1	3	0	3	5	5	2	0	0	0	0	0	0	2	1	0	2	10	4	1	3	1	1	0	3	1	2	2	0	2	1	3	1	7	2	3	2	2	2	5	0	0	1	2	1	3	1	0	2	1	3	2	1	0	1	2	1	1	1	0	2	5	5	3	0	1	4	2	1
167	539250	413250	2	0	0	3	5	4	1	1	1	2	2	3	1	3	1	3	4	2	7	9	2	2	0	0	3	2	6	2	2	3	3	2	2	3	4	3	1	5	4	1	5	2	4	2	3	1	4	9	6	11	1	2	1	2	4	7	1	2	0	1	0	1	4	1	2	1	0	5	3	0
168	539250	413750	3	1	1	0	4	5	1	4	0	0	1	1	3	1	4	0	1	4	6	4	5	1	3	0	3	1	5	5	6	5	5	1	1	1	6	2	4	2	0	2	1	1	0	6	6	0	1	3	7	6	4	5	1	2	4	5	3	0	2	0	0	0	7	1	2	2	1	6	1	1
169	539250	414250	3	1	0	0	2	8	4	0	3	4	4	9	0	3	2	1	1	4	5	7	1	2	3	1	6	4	7	12	9	3	4	3	5	1	4	2	0	0	3	0	2	2	2	3	3	3	6	7	17	11	5	6	5	3	4	8	1	5	5	5	2	2	5	2	2	1	1	2	5	2
170	539250	414750	2	3	1	1	7	11	4	3	3	6	4	4	0	2	3	2	2	4	10	4	4	7	2	6	1	5	15	17	11	6	7	3	4	2	6	3	1	4	1	1	3	2	4	5	7	4	5	7	11	10	12	8	4	0	6	5	3	1	3	4	3	1	6	0	9	2	3	3	5	2
171	539250	415250	5	3	1	0	2	10	3	2	1	4	5	8	6	6	7	9	3	6	15	5	8	3	6	9	10	6	11	16	19	9	3	6	2	7	10	5	2	2	2	0	2	5	5	11	4	1	6	8	13	19	17	12	10	6	5	11	4	2	1	7	3	1	2	0	1	3	3	4	5	0
172	539250	415750	5	4	0	2	5	12	11	1	9	4	2	10	8	6	4	4	4	2	9	8	4	5	2	5	11	4	12	20	7	9	7	6	2	9	11	7	1	1	0	1	5	7	6	7	11	0	7	13	12	13	24	19	18	12	3	6	7	5	6	10	4	4	5	4	5	1	8	7	12	3
173	539250	416250	9	3	1	2	3	8	2	3	8	4	4	6	11	5	5	10	3	2	9	9	4	2	1	7	7	3	7	6	7	14	6	3	5	2	4	7	5	1	2	0	3	2	4	7	3	3	7	10	12	13	15	10	6	5	4	4	4	3	4	5	3	5	5	2	5	3	1	5	6	1
174	539250	416750	10	6	3	0	7	8	10	7	2	8	1	8	7	10	0	8	2	1	8	5	4	2	1	8	14	3	6	3	3	7	9	6	1	12	7	5	5	10	3	1	2	5	3	11	5	3	4	14	7	13	18	7	5	2	6	7	2	4	1	2	6	12	5	6	3	3	2	7	9	3
175	539250	417250	6	1	0	4	6	5	11	4	3	3	6	8	8	6	3	4	2	8	4	6	6	1	5	2	13	0	5	1	3	10	13	3	8	8	7	7	4	6	2	9	2	1	4	19	7	4	9	5	4	5	13	10	4	5	9	8	0	1	3	4	2	13	7	2	4	3	6	14	15	4
176	539250	417750	5	0	0	0	1	3	4	2	6	1	6	12	18	6	0	4	0	1	4	3	0	0	0	1	4	5	5	0	5	7	8	2	2	7	4	7	4	4	2	1	3	2	6	13	4	0	8	2	5	8	2	4	2	2	9	6	5	2	3	2	5	4	4	6	0	1	8	4	6	2
