Period	AxisYear	Year	Observed_6_10	Trend_6_10	Observed_10_14	Trend_10_14	Observed_14_18	Trend_14_18	Observed_18_22	Trend_18_22	Observed_22_26	Trend_22_26	Observed_26_30	Trend_26_30	Observed_30_34	Trend_30_34	Observed_34_38	Trend_34_38
469	1985	1985	22.11	20.4391	20.32	20.038	20.83	19.0835	24.4	19.8714	20.26	18.1085	19.25	16.6832	19.2	15.6776		14.472
470	1985.0833	1985	22.9	20.436	22.04	20.038	20.08	19.0661	20.3	19.856		18.1052	20.17	16.6799		15.6757	17.6	14.4758
471	1985.167	1985	24.3	20.4425	23.78	20.043	20.89	19.0664	21.5	19.855		18.102	18.98	16.6733	18.9	15.6737	16.97	14.476
472	1985.25	1985	21	20.4303	19.22	20.0282	20.86	19.063	19.82	19.8546		18.0987	17.05	16.6651	14.78	15.6644	14.8	14.4725
473	1985.3333	1985	18.91	20.4235	20	20.0339	17.57	19.0503	18.1	19.8597	18.1	18.0955	15	16.6607		15.6646	16.95	14.4699
474	1985.417	1985	19.15	20.43	18.66	20.0335	17.28	19.0458	18.65	19.8716	16.1	18.094	15.91	16.6689	15.07	15.6648		14.4599
475	1985.5	1985	18.6	20.434	17.36	20.0295	16.28	19.0406	18.13	19.8798	16.1	18.097	14.8	16.6721	14.15	15.6627		14.4499
476	1985.5833	1985	17.57	20.4343	16.6	20.0292	16.48	19.0418	16.7	19.8809	15.39	18.0963	14.21	16.6741	13.25	15.6599	13.07	14.4399
477	1985.667	1985	18.9	20.4457	15	20.0253	16.45	19.0387	17.58	19.8827	15.9	18.1003	14.63	16.6793	14.7	15.6611	12.25	14.4301
478	1985.75	1985	17.5	20.4377	17	20.0352	16.15	19.0294	16.3	19.878	16.4	18.0974		16.6824		15.6574	15	14.4224
479	1985.8333	1985	19.06	20.4405	18.75	20.0434	18.23	19.0287	18.97	19.8834	17.08	18.0946	16.11	16.6855	14.43	15.6537		14.4103
480	1985.917	1985	19.3	20.4342	20.32	20.0458	18.65	19.0212		19.8877		18.0919	16.92	16.6864	16.04	15.6545	16.1	14.3981
481	1986	1986	20.14	20.4317	20.9	20.0454	20.93	19.021	22.03	19.892	19.7	18.0893	17.5	16.6904	18.3	15.6564	16.85	14.3838
482	1986.0833	1986	24.37	20.4509	23.05	20.0533	21.64	19.0192	23.78	19.9008	22.1	18.0986	19.41	16.7023	18.04	15.6547	16	14.3651
483	1986.167	1986	23.79	20.4483	23.36	20.0603	20.12	19.0163	21.46	19.903	19.8	18.0967	19.11	16.7145	16.69	15.6514	10.3	14.3459
484	1986.25	1986	19.9	20.4343	23.43	20.0675	19.85	19.0169		19.9116	19.5	18.1051	17.7	16.7243	15.55	15.6522	13.32	14.3434
485	1986.3333	1986	19.85	20.4423	19.14	20.0524	17.7	19.0161	19.61	19.9202	18.52	18.1119	17.71	16.736	16.01	15.6566	14.23	14.3432
486	1986.417	1986	19.47	20.4477	17.68	20.0514	16.51	19.0164	18.93	19.9291		18.1172		16.741		15.6597	13.9	14.3432
487	1986.5	1986	18.26	20.4505	18.77	20.0631	15.59	19.02	16.7	19.9344	15.85	18.1226	14.19	16.7461	12.98	15.6629		14.3426
488	1986.5833	1986	19.53	20.4657	17.68	20.0691	15.62	19.0332	16.86	19.9436	16.33	18.1302	15.09	16.7579	13.87	15.6715		14.342
489	1986.667	1986	18.21	20.4641	17.64	20.0748	16.5	19.05	16.53	19.9532	16.42	18.1328	15.55	16.7677	14.42	15.6796	13.69	14.3414
490	1986.75	1986	18.93	20.4695	18.4	20.0791	19.2	19.0653	19	19.9665		18.1216	14.4	16.77		15.6848	13.39	14.3375
491	1986.8333	1986	19.68	20.4706	18.93	20.08	17.11	19.0622	19.58	19.9757	14.2	18.1104	15.97	16.7775	15	15.6901	17	14.3354
492	1986.917	1986	21.18	20.4737	20.49	20.0842	21.65	19.0805		19.9865	18.7	18.1304	18.1	16.7871	16.51	15.6977	14.36	14.3242
493	1987	1987	22.93	20.478	23.36	20.0974	22.81	19.0882	24.22	19.9972	20.62	18.1522	18.44	16.7936	18.07	15.7043	14.77	14.3165
494	1987.0833	1987	25.92	20.4908	25.25	20.1068	24.31	19.0964	24.9	20.006	20.67	18.1718	20.32	16.8052	18.72	15.7105	16.63	14.3114
495	1987.167	1987	26.9	20.4985	25.56	20.1119	24.11	19.1003	25.13	20.0108	22.6	18.2028	20.13	16.815	19.08	15.7139	16.55	14.305
496	1987.25	1987	25.14	20.4963	24.43	20.1127	21.86	19.0886	22.73	20.0062	19.1	18.2107	19.32	16.8197	17.46	15.7113	15.1	14.2951
497	1987.3333	1987	22.75	20.4868	22.27	20.1031	19.15	19.0774		19.9999	19	18.2271	18.22	16.8177	16.24	15.7047	13.1	14.2832
498	1987.417	1987	21.07	20.4781	19.17	20.0902	17.73	19.0707	17.65	19.9937	16.03	18.2386	14.89	16.8088	13.93	15.6979	13.2	14.2758
499	1987.5	1987	19.7	20.4734	19.71	20.0916	18.54	19.0721	18.93	19.9982	16.75	18.26	15.78	16.8101	14.1	15.695	12.45	14.2695
500	1987.5833	1987	19.13	20.4725	18.33	20.0899	17.02	19.066	17.74	19.9956	16.88	18.2759	15.45	16.8071	13.43	15.6914	13.16	14.2651
501	1987.667	1987	19.04	20.473	18.71	20.0905	16.44	19.0592	17.42	19.9922	16.7	18.286	15.11	16.8018	14.5	15.6908		14.2598
502	1987.75	1987	19.31	20.4713	18.14	20.0831	18.4	19.0554	19.2	19.9899	17.76	18.2874	15.49	16.795	15.04	15.6875	13.67	14.2545
503	1987.8333	1987	19.77	20.4651	19.57	20.082	16.7	19.0399	20.4	19.9847		18.2787	16.3	16.7854	16.43	15.682	15.28	14.249
504	1987.917	1987	20.59	20.4586	21.14	20.0797	20.4	19.043	21.91	19.976	19.32	18.27	17.65	16.776	15.47	15.6709		14.2402
505	1988	1988	22.53	20.4572	23.49	20.0806	22.14	19.0398		19.9668	19.55	18.2626	18.24	16.7663	16.98	15.6642	15.88	14.2315
506	1988.0833	1988	23.07	20.4481	23.5	20.0706	21.97	19.029	23.07	19.9575	21.44	18.2695	19.21	16.7606	18.02	15.6612	15.73	14.2212
507	1988.167	1988	22.1	20.4388	23.01	20.0636	20.12	19.0199		19.951	19.7	18.2739	19.01	16.7585	17.93	15.6568	16.58	14.2129
508	1988.25	1988	22.31	20.4452	22.88	20.0634	20.49	19.0183	21.72	19.9445	20.42	18.2913	18.55	16.7561	16.94	15.6509	14.9	14.2006
509	1988.3333	1988	19.25	20.4315	19.85	20.0482	18.05	19.0128		19.9375	18.9	18.2969	17.36	16.7491	15.25	15.6412		14.1868
510	1988.417	1988	18.2	20.4263	18.44	20.04	16.4	19.009	19.65	19.9305	15.95	18.2989	15.1	16.739	13.3	15.6354	11.2	14.1731
511	1988.5	1988	17.44	20.4262	17.58	20.0339	18.17	19.0169	16	19.9156	15.9	18.3091	15.05	16.7337		15.6351		14.167
512	1988.5833	1988	16.88	20.4266	17.03	20.0321	15.94	19.0117	16.98	19.9091	16.4	18.3207	15.24	16.7278	14.08	15.6348		14.161
513	1988.667	1988	16.73	20.4281	15.7	20.0254	15.69	19.0093	15.68	19.9003	14.81	18.3257	14.36	16.7183	13.04	15.6322	12.32	14.155
514	1988.75	1988	16.83	20.4277	17.1	20.0272	16.66	19.0106	17.6	19.8977	16.62	18.3387	14.62	16.7104	13.35	15.6331	13.05	14.1492
515	1988.8333	1988	17.99	20.4298	18.12	20.0281	18.88	19.0176	19.74	19.8971	17.63	18.3499	16.15	16.704	15.74	15.6387	13.1	14.1439
516	1988.917	1988	20.28	20.4367	20.51	20.0305	20.39	19.0179		19.8922	17.9	18.3552	17.23	16.6973	15.88	15.6413	13.43	14.1414
517	1989	1989	22.05	20.4402	21.26	20.0297	21.15	19.0146	22.93	19.8873	21.53	18.3815	19.07	16.693	18.04	15.6458	15.93	14.1444
518	1989.0833	1989	25.03	20.4504	24.37	20.0377	23.8	19.0184	23.05	19.8821	22.21	18.4003	19.7	16.6857	17.52	15.6482	16.88	14.1447
519	1989.167	1989	24.02	20.4439	24.49	20.0337	20.41	19.0058	23.18	19.8774	21.9	18.4146	18.73	16.6772	17.7	15.6523	15	14.1424
520	1989.25	1989	22.04	20.4384	19.44	20.0118	20.05	19.0002	20.3	19.8679	18.05	18.4169	17.29	16.6687	15.96	15.6556	13.82	14.141
521	1989.3333	1989	19.25	20.4279	19.11	20.009	17.53	18.9956	19.93	19.865	19.25	18.4412	16	16.6625	17.9	15.6623	13.5	14.1412
522	1989.417	1989	18.71	20.4294	17.99	20.0106	16.6	18.9966	17.6	19.8591		18.4592	14.5	16.6605	14.4	15.6597	14	14.1441
523	1989.5	1989	19.39	20.4416	18.87	20.0179	17.32	19.0044	16.9	19.8573	17.27	18.4773	15.53	16.6653	14.45	15.6592	13.77	14.1454
524	1989.5833	1989	19.13	20.4459	17.11	20.0158	16.1	19.0075	16.96	19.8557	16.93	18.4857	14.75	16.6631	13.9	15.6568	13.6	14.1446
525	1989.667	1989	17.87	20.4416	16.56	20.0147	16.25	19.0113	15.76	19.8519	14.97	18.487	14.19	16.6601	13.46	15.6542	13.23	14.1418
526	1989.75	1989	18.37	20.4434	18.12	20.0181	17.03	19.0136	18.55	19.8537	17	18.4986	13.94	16.659	13.38	15.6531	12.73	14.1366
527	1989.8333	1989	18.86	20.4409	17.54	20.013	18.08	19.0168	18.74	19.8503	17.24	18.5069	16.79	16.6652	15.03	15.6566		14.1341
528	1989.917	1989	20.19	20.4412	20.81	20.02	19.56	19.0214	21.25	19.8489	20.29	18.5207	18.76	16.6671	17.25	15.6623	18.9	14.1316
529	1990	1990	22.47	20.4455	22.05	20.022	22.58	19.031	21.5	19.8457	21.63	18.5296	18.8	16.6597	18.47	15.6626	13.55	14.1159
530	1990.0833	1990	22.52	20.4377	23.47	20.0225	22.53	19.0309	23.43	19.8507	22.27	18.5352	19.03	16.6529	18.21	15.6603	15.75	14.107
531	1990.167	1990	23.03	20.4404	23.19	20.0197	21.37	19.0331	22.89	19.8525	20.75	18.5377	18.56	16.6511	17.35	15.6566	14.67	14.0986
532	1990.25	1990	21.37	20.4407	20.39	20.0148	21.96	19.0373	21.26	19.852	20.54	18.5468	18.31	16.6519	17.04	15.6553		14.0917
533	1990.3333	1990	21.11	20.4486	21.29	20.0243	18.33	19.0307	20.02	19.8522	18.97	18.5481	16.97	16.6489	17.4	15.651	14	14.0849
534	1990.417	1990	21.3	20.4552	20.49	20.0269	18.18	19.0312	18.23	19.8502	17.1	18.5501	15.93	16.6455	13.7	15.6401	12.75	14.0786
535	1990.5	1990	18.97	20.4477	18.2	20.0174	16.78	19.0268	16.54	19.8489	15.82	18.5496	14.27	16.6386	12.81	15.6331	12.15	14.0743
536	1990.5833	1990	17.95	20.4459	16.91	20.0152	15.65	19.0276	16.52	19.8511	16.3	18.5553	14.76	16.6372	13.44	15.6317	12.72	14.0721
537	1990.667	1990	18.08	20.4502	17.75	20.0205	16.66	19.0351	16.92	19.855	15.73	18.5596	14.82	16.6356	13.3	15.6312	11.63	14.0696
538	1990.75	1990	18.22	20.4509	18.11	20.0191	16.86	19.0377	17.6	19.8576	16.1	18.5629	15.26	16.6319	14.78	15.6333		14.0695
539	1990.8333	1990	18.82	20.4501	17.84	20.0137	19.7	19.0476	20.25	19.8639	18.48	18.5764	16.7	16.6245	16.18	15.633	14	14.0693
540	1990.917	1990	21.09	20.4564	20.77	20.0181	19.99	19.0447	21.5	19.864	20.37	18.5805	15.7	16.6114	15.34	15.6283		14.0693
